"GB_flag","Флаг хороший/ плохой (таргет)"
"MONTH_OVERDUE_A44","Максимальная сумма просрочек по всем его кредитам за 45 месяцев до расчетной даты"
"MONTH_OVERDUE_A45","Максимальная сумма просрочек по всем его кредитам за 46 месяцев до расчетной даты"
"MONTH_OVERDUE_A46","Максимальная сумма просрочек по всем его кредитам за 47 месяцев до расчетной даты"
"MONTH_OVERDUE_A47","Максимальная сумма просрочек по всем его кредитам за 48 месяцев до расчетной даты"
"MONTH_OVERDUE_A48","Максимальная сумма просрочек по всем его кредитам за 49 месяцев до расчетной даты"
"MONTH_OVERDUE_A49","Максимальная сумма просрочек по всем его кредитам за 50 месяцев до расчетной даты"
"MONTH_OVERDUE_A50","Максимальная сумма просрочек по всем его кредитам за 51 месяцев до расчетной даты"
"MONTH_OVERDUE_A51","Максимальная сумма просрочек по всем его кредитам за 52 месяцев до расчетной даты"
"MONTH_OVERDUE_A52","Максимальная сумма просрочек по всем его кредитам за 53 месяцев до расчетной даты"
"MONTH_OVERDUE_A53","Максимальная сумма просрочек по всем его кредитам за 54 месяцев до расчетной даты"
"MONTH_OVERDUE_A54","Максимальная сумма просрочек по всем его кредитам за 55 месяцев до расчетной даты"
"MONTH_OVERDUE_A55","Максимальная сумма просрочек по всем его кредитам за 56 месяцев до расчетной даты"
"MONTH_OVERDUE_A56","Максимальная сумма просрочек по всем его кредитам за 57 месяцев до расчетной даты"
"MONTH_OVERDUE_A57","Максимальная сумма просрочек по всем его кредитам за 58 месяцев до расчетной даты"
"MONTH_OVERDUE_A58","Максимальная сумма просрочек по всем его кредитам за 59 месяцев до расчетной даты"
"MONTH_OVERDUE_A59","Максимальная сумма просрочек по всем его кредитам за 60 месяцев до расчетной даты"
"NUM_ADDRESSES","Количество адресов субъекта"
"NUM_PHONENUMBERS","Количество телефонных номеров субъекта"
"NUM_CONTRACTS","Общие количество контрактов заёмщика до расчетной даты"
"TOTALAMOUNT_MIN","Минимальная величина активного займа в тенге до расчетной даты, учитывая созаемщика и заемщика"
"TOTALAMOUNT_MAX","Максимальная величина активного займа в тенге до расчетной даты, учитывая созаемщика и заемщика"
"NUM_CONTRACTS_INS","Количество контрактов виде рассрочки до расчетной даты, учитывая только заемщика"
"NUM_CONTRACTS_NIN","Количество контрактов виде нон-рассрочки, кредит-контракты до расчетной даты, учитывая только заемщика"
"NUM_CONTRACTS_OTHER","Количество контрактов виде страховки до расчетной даты, учитывая только заемщика"
"NUM_CONTRACTS_FOR","Количество контрактов в иностранной валюте до расчетной даты, учитывая только заемщика"
"NUM_MONTH_BTW_LAST_CONTRACTS","Количество месяцев между последним и пред-последним контрактом заёмщика"
"NUM_MONTH_FROM_START_MAX","Количество месяцев от первого контракта заёмщика до расчетной даты "
"NUM_MONTH_FROM_START_MIN","Количество месяцев от последнего контракта заёмщика до расчетной даты"
"NUM_CONTRACTS_STARTED_L3M","Количество контрактов заёмщика за 3 мес. до расчетной даты"
"NUM_CONTRACTS_STARTED_L6M","Количество контрактов заёмщика за 6 мес. до расчетной даты"
"NUM_CONTRACTS_STARTED_L12M","Количество контрактов заёмщика за 12 мес. до расчетной даты"
"NUM_CONTRACTS_STARTED_L7_12M","Количество контрактов заёмщика за от 6 до 12 мес. до расчетной даты"
"AS3M","Среднемесячная чистая ЗП за 3 мес. предшедствующих месяцу перед расчетной дате, тнг"
"outstandingamount","Задолженность"
"overdueamount","Просроченная задолженность"
"instalmentamount","Сумма платежей в  предыд. месяце  к расчетной дате по всем займам как заёмщика, тнг"
"loans","количество займов"
"frequency","Frequency (от англ. частота) — с какой периодичностью клиенты обращаются за вашими товарами или услугами."
"monetary","Monetary (от англ. деньги) — сколько всего у вас тратят."
"recency","Recency (от англ. давность) — этот показатель демонстрирует, как давно клиенты приобретали ваши товары или пользовались вашими услугами."
"rfm_score","балл по маркетинговой модели RFM"
"DTI3M","Коэффициент долговой нагрузки заёмщика"
